Time_Relative_sf	Duration_sf	Observation	Event_Log	Behavior	Event_Type
0	0	Observation 1	Event log	Dr_Peak	Point
0.647	0	Observation 1	Event log	Dr_Peak	Point
1.338	0	Observation 1	Event log	Dr_Peak	Point
2.063	0	Observation 1	Event log	Dr_Peak	Point
2.735	0	Observation 1	Event log	Dr_Peak	Point
3.43	0	Observation 1	Event log	Dr_Peak	Point
4.157	0	Observation 1	Event log	Dr_Peak	Point
4.879	0	Observation 1	Event log	Dr_Peak	Point
5.56	0	Observation 1	Event log	Dr_Peak	Point
6.244	0	Observation 1	Event log	Dr_Peak	Point
6.966	0	Observation 1	Event log	Dr_Peak	Point
7.656	0	Observation 1	Event log	Dr_Peak	Point
8.324	0	Observation 1	Event log	Dr_Peak	Point
231.333	0	Observation 1	Event log	Dr_Peak	Point
231.792	0	Observation 1	Event log	Dr_Peak	Point
232.248	0	Observation 1	Event log	Dr_Peak	Point
232.696	0	Observation 1	Event log	Dr_Peak	Point
233.141	0	Observation 1	Event log	Dr_Peak	Point
0.647	0	Observation 1	Event log	Dr_Diff	Point
233.592	0	Observation 1	Event log	Dr_Diff	Point
0.647	0	Observation 1	Event log	Dr_Diff	Point
234.045	0	Observation 1	Event log	Dr_Diff	Point
233.443	0	Observation 1	Event log	Dr_Extra	Point
233.723	0	Observation 1	Event log	Dr_Extra	Point
234.041	0	Observation 1	Event log	Dr_Extra	Point
234.492	0	Observation 1	Event log	Dr_Peak	Point
234.947	0	Observation 1	Event log	Dr_Peak	Point
0.647	0	Observation 1	Event log	Dr_Diff	Point
235.75	0	Observation 1	Event log	Dr_Diff	Point
235.405	0	Observation 1	Event log	Dr_Extra	Point
235.845	0	Observation 1	Event log	Dr_Extra	Point
236.291	0	Observation 1	Event log	Dr_Peak	Point
236.73	0	Observation 1	Event log	Dr_Peak	Point
237.167	0	Observation 1	Event log	Dr_Peak	Point
237.626	0	Observation 1	Event log	Dr_Peak	Point
238.122	0	Observation 1	Event log	Dr_Peak	Point
238.605	0	Observation 1	Event log	Dr_Peak	Point
239.105	0	Observation 1	Event log	Dr_Peak	Point
239.616	0	Observation 1	Event log	Dr_Peak	Point
240.125	0	Observation 1	Event log	Dr_Peak	Point
240.629	0	Observation 1	Event log	Dr_Peak	Point
241.128	0	Observation 1	Event log	Dr_Peak	Point
241.592	0	Observation 1	Event log	Dr_Peak	Point
242.104	0	Observation 1	Event log	Dr_Peak	Point
242.598	0	Observation 1	Event log	Dr_Peak	Point
243.049	0	Observation 1	Event log	Dr_Peak	Point
243.555	0	Observation 1	Event log	Dr_Peak	Point
244.044	0	Observation 1	Event log	Dr_Peak	Point
244.537	0	Observation 1	Event log	Dr_Peak	Point
0	0	Observation 1	Event log	Pt_Peak	Point
0.459	0	Observation 1	Event log	Pt_Peak	Point
1.012	0	Observation 1	Event log	Pt_Peak	Point
1.569	0	Observation 1	Event log	Pt_Peak	Point
2.127	0	Observation 1	Event log	Pt_Peak	Point
2.683	0	Observation 1	Event log	Pt_Peak	Point
3.232	0	Observation 1	Event log	Pt_Peak	Point
592.284	0	Observation 1	Event log	Pt_Peak	Point
592.898	0	Observation 1	Event log	Pt_Peak	Point
593.534	0	Observation 1	Event log	Pt_Peak	Point
594.189	0	Observation 1	Event log	Pt_Extra	Point
594.784	0	Observation 1	Event log	Pt_Peak	Point
595.412	0	Observation 1	Event log	Pt_Peak	Point
596.038	0	Observation 1	Event log	Pt_Peak	Point
1009.218	0	Observation 1	Event log	Pt_Peak	Point
1009.792	0	Observation 1	Event log	Pt_Peak	Point
1010.375	0	Observation 1	Event log	Pt_Peak	Point
1010.966	0	Observation 1	Event log	Pt_Peak	Point
1011.584	0	Observation 1	Event log	Pt_Peak	Point
1012.194	0	Observation 1	Event log	Pt_Peak	Point
1012.816	0	Observation 1	Event log	Pt_Peak	Point
1013.452	0	Observation 1	Event log	Pt_Peak	Point
1014.104	0	Observation 1	Event log	Pt_Peak	Point
1014.749	0	Observation 1	Event log	Pt_Peak	Point
1015.37	0	Observation 1	Event log	Pt_Peak	Point
1015.993	0	Observation 1	Event log	Pt_Peak	Point
1016.605	0	Observation 1	Event log	Pt_Peak	Point
1017.204	0	Observation 1	Event log	Pt_Peak	Point
1017.782	0	Observation 1	Event log	Pt_Peak	Point
1018.342	0	Observation 1	Event log	Pt_Peak	Point
1018.896	0	Observation 1	Event log	Pt_Peak	Point
1019.45	0	Observation 1	Event log	Pt_Peak	Point
1020.02	0	Observation 1	Event log	Pt_Peak	Point
1020.613	0	Observation 1	Event log	Pt_Peak	Point
1021.193	0	Observation 1	Event log	Pt_Peak	Point
1021.199	0	Observation 1	Event log	Pt_Extra	Point
